PageRank Results
0.005575202994970241   ORD   Chicago Ohare Intl, United States
Outdegree 0 4.106270274709482e-05   BSU   Basankusu Airport, Congo (Kinshasa)
Outdegree 0 4.106270274709482e-05   KRZ   Basango Mboliasa Airport, Congo (Kinshasa)
Outdegree 0 4.106270274709482e-05   NIO   Nioki Airport, Congo (Kinshasa)
Outdegree 0 4.106270274709482e-05   INO   Inongo Airport, Congo (Kinshasa)
Outdegree 0 4.106270274709482e-05   MAT   Tshimpi Airport, Congo (Kinshasa)
Outdegree 0 4.106270274709482e-05   BOA   Boma Airport, Congo (Kinshasa)
Outdegree 0 4.106270274709482e-05   SWP   Swakopmund Airport, Namibia
Outdegree 0 4.106270274709482e-05   OMD   Oranjemund Airport, Namibia
Outdegree 0 4.106270274709482e-05   CMK   Club Makokola Airport, Malawi
Outdegree 0 4.106270274709482e-05   SRH   Sarh Airport, Chad
Outdegree 0 4.106270274709482e-05   JCA   Croisette Heliport, France
Outdegree 0 4.106270274709482e-05   TCH   Tchibanga Airport, Gabon
Outdegree 0 4.106270274709482e-05   MJL   Mouilla Ville Airport, Gabon
Outdegree 0 4.106270274709482e-05   KOU   Koulamoutou Airport, Gabon
Outdegree 0 4.106270274709482e-05   MSZ   Namibe Airport, Angola
Outdegree 0 4.106270274709482e-05   DUE   Dundo Airport, Angola
Outdegree 0 4.106270274709482e-05   MJA   Manja Airport, Madagascar
Outdegree 0 4.106270274709482e-05   WMA   Mandritsara Airport, Madagascar
Outdegree 0 4.106270274709482e-05   TTS   Tsaratanana Airport, Madagascar
Outdegree 0 4.106270274709482e-05   WMP   Mampikony Airport, Madagascar
Outdegree 0 4.106270274709482e-05   DWB   Soalala Airport, Madagascar
Outdegree 0 4.106270274709482e-05   IVA   Ambanja Airport, Madagascar
Outdegree 0 4.106270274709482e-05   WPB   Port Bergé Airport, Madagascar
Outdegree 0 4.106270274709482e-05   WAM   Ambatondrazaka Airport, Madagascar
Outdegree 0 4.106270274709482e-05   WTS   Tsiroanomandidy Airport, Madagascar
Outdegree 0 4.106270274709482e-05   WTA   Tambohorano Airport, Madagascar
Outdegree 0 4.106270274709482e-05   TVA   Morafenobe Airport, Madagascar
Outdegree 0 4.106270274709482e-05   MXT   Maintirano Airport, Madagascar
Outdegree 0 4.106270274709482e-05   JVA   Ankavandra Airport, Madagascar
Outdegree 0 4.106270274709482e-05   WAQ   Antsalova Airport, Madagascar
Outdegree 0 4.106270274709482e-05   YVA   Iconi Airport, Comoros
Outdegree 0 4.106270274709482e-05   DIS   Loubomo Airport, Congo (Brazzaville)
Outdegree 0 4.106270274709482e-05   TLD   Limpopo Valley Airport, Botswana
Outdegree 0 4.106270274709482e-05   SWX   Shakawe Airport, Botswana
Outdegree 0 4.106270274709482e-05   ORP   Orapa Airport, Botswana
Outdegree 0 4.106270274709482e-05   GNZ   Ghanzi Airport, Botswana
Outdegree 0 4.106270274709482e-05   MBD   Mmabatho International Airport, South Africa
Outdegree 0 4.106270274709482e-05   AAM   Malamala Airport, South Africa
Outdegree 0 4.106270274709482e-05   QRA   Rand Airport, South Africa
Outdegree 0 4.106270274709482e-05   VTS   Ventspils International Airport, Latvia
Outdegree 0 4.106270274709482e-05   HIL   Shilavo Airport, Ethiopia
Outdegree 0 4.106270274709482e-05   SQO   Storuman Airport, Sweden
Outdegree 0 4.106270274709482e-05   TYF   Torsby Airport, Sweden
Outdegree 0 4.106270274709482e-05   HFS   Hagfors Airport, Sweden
Outdegree 0 4.106270274709482e-05   VRY   Værøy Heliport, Norway
Outdegree 0 4.106270274709482e-05   CNL   Sindal Airport, Denmark
Outdegree 0 4.106270274709482e-05   HLY   Anglesey Airport, United Kingdom
Outdegree 0 4.106270274709482e-05   PZE   Penzance Heliport, United Kingdom
Outdegree 0 4.106270274709482e-05   LWK   Lerwick / Tingwall Airport, United Kingdom
Outdegree 0 4.106270274709482e-05   FIE   Fair Isle Airport, United Kingdom
Outdegree 0 4.106270274709482e-05   NQT   Nottingham Airport, United Kingdom
Outdegree 0 4.106270274709482e-05   SJY   Seinäjoki Airport, Finland
Outdegree 0 4.106270274709482e-05   HGL   Helgoland-Düne Airport, Germany
Outdegree 0 4.106270274709482e-05   HEI   Heide-Büsum Airport, Germany
Outdegree 0 4.106270274709482e-05   ZWL   Wollaston Lake Airport, Canada
Outdegree 0 4.106270274709482e-05   ZTM   Shamattawa Airport, Canada
Outdegree 0 4.106270274709482e-05   ZJN   Swan River Airport, Canada
Outdegree 0 4.106270274709482e-05   ZGI   Gods River Airport, Canada
Outdegree 0 4.106270274709482e-05   ZFD   Fond-Du-Lac Airport, Canada
Outdegree 0 4.106270274709482e-05   ILF   Ilford Airport, Canada
Outdegree 0 4.106270274709482e-05   ZAC   York Landing Airport, Canada
Outdegree 0 4.106270274709482e-05   YST   St. Theresa Point Airport, Canada
Outdegree 0 4.106270274709482e-05   YSF   Stony Rapids Airport, Canada
Outdegree 0 4.106270274709482e-05   YQN   Nakina Airport, Canada
Outdegree 0 4.106270274709482e-05   YOH   Oxford House Airport, Canada
Outdegree 0 4.106270274709482e-05   YNL   Points North Landing Airport, Canada
Outdegree 0 4.106270274709482e-05   YNE   Norway House Airport, Canada
Outdegree 0 4.106270274709482e-05   YIV   Island Lake Airport, Canada
Outdegree 0 4.106270274709482e-05   YHC   Vancouver Harbour Water Airport, Canada
Outdegree 0 4.106270274709482e-05   YGO   Gods Lake Narrows Airport, Canada
Outdegree 0 4.106270274709482e-05   YGB   Texada Gillies Bay Airport, Canada
Outdegree 0 4.106270274709482e-05   YRF   Cartwright Airport, Canada
Outdegree 0 4.106270274709482e-05   YBE   Uranium City Airport, Canada
Outdegree 0 4.106270274709482e-05   YCK   Colville Lake Airport, Canada
Outdegree 0 4.106270274709482e-05   YWS   Whistler/Green Lake Water Aerodrome, Canada
Outdegree 0 4.106270274709482e-05   PND   Punta Gorda Airport, Belize
Outdegree 0 4.106270274709482e-05   VPN   Vopnafjörður Airport, Iceland
Outdegree 0 4.106270274709482e-05   THO   Thorshofn Airport, Iceland
Outdegree 0 4.106270274709482e-05   GRY   Grímsey Airport, Iceland
Outdegree 0 4.106270274709482e-05   JGO   Qeqertarsuaq Heliport, Greenland
Outdegree 0 4.106270274709482e-05   KMA   Kerema Airport, Papua New Guinea
Outdegree 0 4.106270274709482e-05   KRI   Kikori Airport, Papua New Guinea
Outdegree 0 4.106270274709482e-05   CMU   Chimbu Airport, Papua New Guinea
Outdegree 0 4.106270274709482e-05   MNY   Mono Airport, Solomon Islands
Outdegree 0 4.106270274709482e-05   GZO   Nusatupe Airport, Solomon Islands
Outdegree 0 4.106270274709482e-05   MBU   Babanakira Airport, Solomon Islands
Outdegree 0 4.106270274709482e-05   KXK   Komsomolsk-on-Amur Airport, Russia
Outdegree 0 4.106270274709482e-05   OYG   Moyo Airport, Uganda
Outdegree 0 4.106270274709482e-05   CNN   Chulman, Russia
Outdegree 0 4.106270274709482e-05   UNI   Union Island International Airport, Saint Vincent and the Grenadines
Outdegree 0 4.106270274709482e-05   BQU   J F Mitchell Airport, Saint Vincent and the Grenadines
Outdegree 0 4.106270274709482e-05   BBR   Baillif Airport, Guadeloupe
Outdegree 0 4.106270274709482e-05   DSD   La Désirade Airport, Guadeloupe
Outdegree 0 4.106270274709482e-05   MDO   El Jaguel / Punta del Este Airport, Uruguay
Outdegree 0 4.106270274709482e-05   LHC   Caballococha Airport, Peru
Outdegree 0 4.106270274709482e-05   SRJ   Capitán Av. German Quiroga G. Airport, Bolivia
Outdegree 0 4.106270274709482e-05   GLJ   La Jagua Airport, Colombia
Outdegree 0 4.106270274709482e-05   CRC   Santa Ana Airport, Colombia
Outdegree 0 4.106270274709482e-05   PSY   Stanley Airport, Falkland Islands
Outdegree 0 4.106270274709482e-05   SOD   Sorocaba Airport, Brazil
Outdegree 0 4.106270274709482e-05   ESR   Ricardo García Posada Airport, Chile
Outdegree 0 4.106270274709482e-05   NEC   Necochea Airport, Argentina
Outdegree 0 4.106270274709482e-05   ING   Lago Argentino Airport, Argentina
Outdegree 0 4.106270274709482e-05   SFE   San Fernando Airport, Philippines
Outdegree 0 4.106270274709482e-05   TDG   Tandag Airport, Philippines
Outdegree 0 4.106270274709482e-05   SFS   Subic Bay International Airport, Philippines
Outdegree 0 4.106270274709482e-05   OHO   Okhotsk Airport, Russia
Outdegree 0 4.106270274709482e-05   UJE   Ujae Atoll Airport, Marshall Islands
Outdegree 0 4.106270274709482e-05   MPW   Mariupol International Airport, Ukraine
Outdegree 0 4.106270274709482e-05   RWN   Rivne International Airport, Ukraine
Outdegree 0 4.106270274709482e-05   AMV   Amderma Airport, Russia
Outdegree 0 4.106270274709482e-05   MVQ   Mogilev Airport, Belarus
Outdegree 0 4.106270274709482e-05   EIE   Yeniseysk Airport, Russia
Outdegree 0 4.106270274709482e-05   KYZ   Kyzyl Airport, Russia
Outdegree 0 4.106270274709482e-05   HTG   Khatanga Airport, Russia
Outdegree 0 4.106270274709482e-05   NAL   Nalchik Airport, Russia
Outdegree 0 4.106270274709482e-05   WKK   Aleknagik Airport, United States
Outdegree 0 4.106270274709482e-05   BKX   Brookings Regional Airport, United States
Outdegree 0 4.106270274709482e-05   BLF   Mercer County Airport, United States
Outdegree 0 4.106270274709482e-05   IFP   Laughlin-Bullhead Intl, United States
Outdegree 0 4.106270274709482e-05   LPS   Lopez Island Airport, United States
Outdegree 0 4.106270274709482e-05   NYA   Nyagan Airport, Russia
Outdegree 0 4.106270274709482e-05   RAT   Raduzhny Airport, Russia
Outdegree 0 4.106270274709482e-05   NFG   Nefteyugansk Airport, Russia
Outdegree 0 4.106270274709482e-05   KRO   Kurgan Airport, Russia
Outdegree 0 4.106270274709482e-05   RYB   Staroselye Airport, Russia
Outdegree 0 4.106270274709482e-05   URS   Kursk East Airport, Russia
Outdegree 0 4.106270274709482e-05   LPK   Lipetsk Airport, Russia
Outdegree 0 4.106270274709482e-05   JOK   Yoshkar-Ola Airport, Russia
Outdegree 0 4.106270274709482e-05   BWO   Balakovo Airport, Russia
Outdegree 0 4.106270274709482e-05   KCT   Koggala Airport, Sri Lanka
Outdegree 0 4.106270274709482e-05   WRZ   Wirawila Airport, Sri Lanka
Outdegree 0 4.106270274709482e-05   BBM   Battambang Airport, Cambodia
Outdegree 0 4.106270274709482e-05   TEZ   Tezpur Airport, India
Outdegree 0 4.106270274709482e-05   BZL   Barisal Airport, Bangladesh
Outdegree 0 4.106270274709482e-05   OUI   Ban Huoeisay Airport, Laos
Outdegree 0 4.106270274709482e-05   KON   Kontum Airport, Vietnam
Outdegree 0 4.106270274709482e-05   MEY   Meghauli Airport, Nepal
Outdegree 0 4.106270274709482e-05   HAQ   Hanimaadhoo Airport, Maldives
Outdegree 0 4.106270274709482e-05   LIW   Loikaw Airport, Burma
Outdegree 0 4.106270274709482e-05   MNU   Mawlamyine Airport, Burma
Outdegree 0 4.106270274709482e-05   BSX   Pathein Airport, Burma
Outdegree 0 4.106270274709482e-05   PKK   Pakhokku Airport, Burma
Outdegree 0 4.106270274709482e-05   SWQ   Sumbawa Besar Airport, Indonesia
Outdegree 0 4.106270274709482e-05   BUI   Bokondini Airport, Indonesia
Outdegree 0 4.106270274709482e-05   SEH   Senggeh Airport, Indonesia
Outdegree 0 4.106270274709482e-05   TJS   Tanjung Harapan Airport, Indonesia
Outdegree 0 4.106270274709482e-05   TJG   Warukin Airport, Indonesia
4.106270274709482e-05   SMQ   Sampit(Hasan) Airport, Indonesia
Outdegree 0 4.106270274709482e-05   ARD   Mali Airport, Indonesia
Outdegree 0 4.106270274709482e-05   BLG   Belaga Airport, Malaysia
Outdegree 0 4.106270274709482e-05   TMG   Tomanggong Airport, Malaysia
Outdegree 0 4.106270274709482e-05   HLP   Halim Perdanakusuma International Airport, Indonesia
Outdegree 0 4.106270274709482e-05   SQG   Susilo Airport, Indonesia
Outdegree 0 4.106270274709482e-05   PDO   Pendopo Airport, Indonesia
Outdegree 0 4.106270274709482e-05   LBW   Long Bawan Airport, Indonesia
Outdegree 0 4.106270274709482e-05   NNX   Nunukan Airport, Indonesia
Outdegree 0 4.106270274709482e-05   GYL   Argyle Airport, Australia
Outdegree 0 4.106270274709482e-05   BDD   Badu Island Airport, Australia
Outdegree 0 4.106270274709482e-05   BRK   Bourke Airport, Australia
Outdegree 0 4.106270274709482e-05   GIC   Boigu Airport, Australia
Outdegree 0 4.106270274709482e-05   OKY   Oakey Airport, Australia
Outdegree 0 4.106270274709482e-05   BLT   Blackwater Airport, Australia
Outdegree 0 4.106270274709482e-05   CVQ   Carnarvon Airport, Australia
Outdegree 0 4.106270274709482e-05   CNC   Coconut Island Airport, Australia
Outdegree 0 4.106270274709482e-05   CTN   Cooktown Airport, Australia
Outdegree 0 4.106270274709482e-05   CNB   Coonamble Airport, Australia
Outdegree 0 4.106270274709482e-05   NLF   Darnley Island Airport, Australia
Outdegree 0 4.106270274709482e-05   HOK   Hooker Creek Airport, Australia
Outdegree 0 4.106270274709482e-05   KAX   Kalbarri Airport, Australia
Outdegree 0 4.106270274709482e-05   KFG   Kalkgurung Airport, Australia
Outdegree 0 4.106270274709482e-05   KRB   Karumba Airport, Australia
Outdegree 0 4.106270274709482e-05   KUG   Kubin Airport, Australia
Outdegree 0 4.106270274709482e-05   LNO   Leonora Airport, Australia
Outdegree 0 4.106270274709482e-05   LEL   Lake Evella Airport, Australia
Outdegree 0 4.106270274709482e-05   LHG   Lightning Ridge Airport, Australia
Outdegree 0 4.106270274709482e-05   LER   Leinster Airport, Australia
Outdegree 0 4.106270274709482e-05   LVO   Laverton Airport, Australia
Outdegree 0 4.106270274709482e-05   UBB   Mabuiag Island Airport, Australia
Outdegree 0 4.106270274709482e-05   MKR   Meekatharra Airport, Australia
Outdegree 0 4.106270274709482e-05   MMG   Mount Magnet Airport, Australia
Outdegree 0 4.106270274709482e-05   MYI   Murray Island Airport, Australia
Outdegree 0 4.106270274709482e-05   MBH   Maryborough Airport, Australia
Outdegree 0 4.106270274709482e-05   PMK   Palm Island Airport, Australia
Outdegree 0 4.106270274709482e-05   RAM   Ramingining Airport, Australia
Outdegree 0 4.106270274709482e-05   MJK   Shark Bay Airport, Australia
Outdegree 0 4.106270274709482e-05   SBR   Saibai Island Airport, Australia
Outdegree 0 4.106270274709482e-05   SRN   Strahan Airport, Australia
Outdegree 0 4.106270274709482e-05   TCA   Tennant Creek Airport, Australia
Outdegree 0 4.106270274709482e-05   VCD   Victoria River Downs Airport, Australia
Outdegree 0 4.106270274709482e-05   SYU   Warraber Island Airport, Australia
Outdegree 0 4.106270274709482e-05   WUN   Wiluna Airport, Australia
Outdegree 0 4.106270274709482e-05   WOL   Wollongong Airport, Australia
Outdegree 0 4.106270274709482e-05   OKR   Yorke Island Airport, Australia
Outdegree 0 4.106270274709482e-05   XMY   Yam Island Airport, Australia
Outdegree 0 4.106270274709482e-05   AKA   Ankang Airport, China
Outdegree 0 4.106270274709482e-05   HZG   Hanzhong Airport, China
Outdegree 0 4.106270274709482e-05   AVK   Arvaikheer Airport, Mongolia
Outdegree 0 4.106270274709482e-05   IQM   Qiemo Airport, China
Outdegree 0 4.106270274709482e-05   WME   Mount Keith, Australia
Outdegree 0 4.106270274709482e-05   LRV   Gran Roque Airport, Venezuela
Outdegree 0 4.106270274709482e-05   IOR   Inishmore Airport, Ireland
Outdegree 0 4.106270274709482e-05   NNR   Connemara Regional Airport, Ireland
Outdegree 0 4.106270274709482e-05   GTI   Guettin MecklenburgVorpommern Germany, Germany
Outdegree 0 4.106270274709482e-05   NBB   Berezovo, Russia
Outdegree 0 4.106270274709482e-05   ORH   Worcester Regional Airport, United States
Outdegree 0 4.106270274709482e-05   ZVE   New Haven Rail Station, United States
Outdegree 0 4.106270274709482e-05   XOZ   Doha Free Zone Airport, Qatar
Outdegree 0 4.106270274709482e-05   PWT   Bremerton National, United States
Outdegree 0 4.106270274709482e-05   SPW   Spencer Muni, United States
Outdegree 0 4.106270274709482e-05   JEF   Jefferson City Memorial Airport, United States
Outdegree 0 4.106270274709482e-05   UNT   Unst Airport, United Kingdom
Outdegree 0 4.106270274709482e-05   %u0   Magas, Russia
Outdegree 0 4.106270274709482e-05   SUI   Sukhumi Dranda, Georgia
Outdegree 0 4.106270274709482e-05   TBW   Tambow, Russia
Outdegree 0 4.106270274709482e-05   OBN   Oban Airport, United Kingdom
Outdegree 0 4.106270274709482e-05   CVF   Courchevel Airport, France
Outdegree 0 4.106270274709482e-05   FUL   Fullerton Municipal Airport, United States
Outdegree 0 4.106270274709482e-05   FWM   Fort William Heliport, United Kingdom
Outdegree 0 4.106270274709482e-05   JPU   La Defense Heliport, France
Outdegree 0 4.106270274709482e-05   RRA   Ronda Airport, Spain
Outdegree 0 4.106270274709482e-05   PME   Portsmouth Airport, United Kingdom
Outdegree 0 4.106270274709482e-05   DAQ   Daqing Saertu Airport, China
Outdegree 0 4.106270274709482e-05   QNC   Neuchatel Airport, Switzerland
Outdegree 0 4.106270274709482e-05   ZJI   Locarno Airport, Switzerland
Outdegree 0 4.106270274709482e-05   1OH   Fortman Airport, United States
Outdegree 0 4.106270274709482e-05   BN1   Bellona, Solomon Islands
Outdegree 0 4.106270274709482e-05   RIN   Ringi Cove Airport, Solomon Islands
Outdegree 0 4.106270274709482e-05   ARE   Antonio Juarbe Pol Airport, Puerto Rico
Outdegree 0 4.106270274709482e-05   AGE   Wangerooge Airport, Germany
Outdegree 0 4.106270274709482e-05   OSH   Wittman Regional Airport, United States
Outdegree 0 4.106270274709482e-05   TNL   Ternopol, Ukraine
Outdegree 0 4.106270274709482e-05   CEJ   Chernigov, Ukraine
Outdegree 0 4.106270274709482e-05   UKC   Lutsk, Ukraine
Outdegree 0 4.106270274709482e-05   BEH   Southwest Michigan Regional Airport, United States
Outdegree 0 4.106270274709482e-05   UES   Waukesha County Airport, United States
Outdegree 0 4.106270274709482e-05   NOA   Nowra Airport, Australia
Outdegree 0 4.106270274709482e-05   KTR   Tindal Airport, Australia
Outdegree 0 4.106270274709482e-05   10C   Galt Field Airport, United States
Outdegree 0 4.106270274709482e-05   X01   Everglades Airpark, United States
Outdegree 0 4.106270274709482e-05   MRQ   Marinduque Airport, Philippines
Outdegree 0 4.106270274709482e-05   HDM   Hamadan Airport, Iran
Outdegree 0 4.106270274709482e-05   LSS   Terre-de-Haut Airport, Guadeloupe
Outdegree 0 4.106270274709482e-05   YEI   Yenisehir Airport, Turkey
Outdegree 0 4.106270274709482e-05   CKZ   Canakkale Airport, Turkey
Outdegree 0 4.106270274709482e-05   BHG   Brus Laguna Airport, Honduras
Outdegree 0 4.106270274709482e-05   TOG   Togiak Airport, United States
Outdegree 0 4.106270274709482e-05   KVC   King Cove Airport, United States
Outdegree 0 4.106270274709482e-05   KNW   New Stuyahok Airport, United States
Outdegree 0 4.106270274709482e-05   SLV   Shimla Airport, India
Outdegree 0 4.106270274709482e-05   TBH   Romblon Airport, Philippines
Outdegree 0 4.106270274709482e-05   KPC   Port Clarence Coast Guard Station, United States
Outdegree 0 4.106270274709482e-05   OMC   Ormoc Airport, Philippines
Outdegree 0 4.106270274709482e-05   ELA   Naypyidaw, Burma
Outdegree 0 4.106270274709482e-05   ZXB   Jan Mayensfield, Norway
Outdegree 0 4.106270274709482e-05   HHA   Huanghua Intl, China
Outdegree 0 4.106270274709482e-05   OXR   Oxnard - Ventura County, United States
Outdegree 0 4.106270274709482e-05   KNC   Jinggangshan, China
Outdegree 0 4.106270274709482e-05   ZBP   Penn Station, United States
Outdegree 0 4.106270274709482e-05   ZYP   Penn Station, United States
Outdegree 0 4.106270274709482e-05   NIU   Niau, French Polynesia
Outdegree 0 4.106270274709482e-05   SCH   Stratton ANGB - Schenectady County Airpor, United States
Outdegree 0 4.106270274709482e-05   LGO   Langeoog Airport, Germany
Outdegree 0 4.106270274709482e-05   FNE   Fane Airport, Papua New Guinea
Outdegree 0 4.106270274709482e-05   ITK   Itokama Airport, Papua New Guinea
Outdegree 0 4.106270274709482e-05   ONB   Ononge Airport, Papua New Guinea
Outdegree 0 4.106270274709482e-05   TPI   Tapini Airport, Papua New Guinea
Outdegree 0 4.106270274709482e-05   AGL   Wanigela Airport, Papua New Guinea
Outdegree 0 4.106270274709482e-05   WTP   Woitape Airport, Papua New Guinea
Outdegree 0 4.106270274709482e-05   AWB   Awaba Airport, Papua New Guinea
Outdegree 0 4.106270274709482e-05   TFM   Telefomin Airport, Papua New Guinea
Outdegree 0 4.106270274709482e-05   NLP   Nelspruit Airport, South Africa
Outdegree 0 4.106270274709482e-05   CKC   Cherkassy, Ukraine
Outdegree 0 4.106270274709482e-05   UST   St. Augustine Airport, United States
Outdegree 0 4.106270274709482e-05   NLV   Mykolaiv International Airport, Ukraine
Outdegree 0 4.106270274709482e-05   RHP   Ramechhap, Nepal
Outdegree 0 4.106270274709482e-05   ISM   Kissimmee Gateway Airport, United States
Outdegree 0 4.106270274709482e-05   LCQ   Lake City Municipal Airport, United States
Outdegree 0 4.106270274709482e-05   LGU   Logan-Cache, United States
Outdegree 0 4.106270274709482e-05   BMC   Brigham City, United States
Outdegree 0 4.106270274709482e-05   MLD   Malad City, United States
Outdegree 0 4.106270274709482e-05   GSS   Sabi Sabi Airport, South Africa
Outdegree 0 4.106270274709482e-05   ZFV   Philadelphia 30th St Station, United States
Outdegree 0 4.106270274709482e-05   BWD   KBWD, United States
Outdegree 0 4.106270274709482e-05   LXY   Mexia - Limestone County Airport, United States
Outdegree 0 4.106270274709482e-05   ERV   Kerrville Municipal Airport, United States
Outdegree 0 4.106270274709482e-05   GED   Sussex Co, United States
Outdegree 0 4.106270274709482e-05   ZSW   Seal Cove Seaplane Base, Canada
Outdegree 0 4.106270274709482e-05   GBN   Great Bend Municipal, United States
Outdegree 0 4.106270274709482e-05   SUS   Spirit Of St Louis, United States
Outdegree 0 4.106270274709482e-05   LYU   Ely Municipal, United States
Outdegree 0 4.106270274709482e-05   EGV   Eagle River, United States
Outdegree 0 4.106270274709482e-05   ARV   Lakeland, United States
Outdegree 0 4.106270274709482e-05   IKV   Ankeny Regl Airport, United States
Outdegree 0 4.106270274709482e-05   YBV   Berens River, Canada
Outdegree 0 4.106270274709482e-05   NGP   Corpus Christi NAS, United States
Outdegree 0 4.106270274709482e-05   YPI   Seaplane Base, Canada
Outdegree 0 4.106270274709482e-05   AVX   Avalon, United States
Outdegree 0 4.106270274709482e-05   MHV   Mojave, United States
Outdegree 0 4.106270274709482e-05   ZIN   Air Base, Switzerland
Outdegree 0 4.106270274709482e-05   INQ   Inisheer, Ireland
Outdegree 0 4.106270274709482e-05   SWT   Strezhevoy, Russia
Outdegree 0 4.106270274709482e-05   HUT   Hutchinson Municipal Airport, United States
Outdegree 0 4.106270274709482e-05   BPM   Bagram AFB, Afghanistan
Outdegree 0 4.106270274709482e-05   EGA   Eagle County Airport, United States
Outdegree 0 4.106270274709482e-05   STJ   Rosecrans Mem, United States
Outdegree 0 4.106270274709482e-05   ZRT   Hartford Union Station, United States
Outdegree 0 4.106270274709482e-05   ZTF   Stamford Amtrak Station, United States
Outdegree 0 4.106270274709482e-05   ZRP   Newark Penn Station, United States
Outdegree 0 4.106270274709482e-05   NDZ   Cuxhaven Airport, Germany
Outdegree 0 4.106270274709482e-05   VOK   Volk Fld, United States
Outdegree 0 4.106270274709482e-05   UAB   Adana-Incirlik Airbase, Turkey
Outdegree 0 4.106270274709482e-05   SIA   Xi\\'An Xiguan, China
Outdegree 0 4.106270274709482e-05   TOA   Zamperini Field Airport, United States
Outdegree 0 4.106270274709482e-05   JGC   Grand Canyon Heliport, United States
Outdegree 0 4.106270274709482e-05   WFK   Northern Aroostook Regional Airport, United States
Outdegree 0 4.106270274709482e-05   SME   Lake Cumberland Regional Airport, United States
Outdegree 0 4.106270274709482e-05   MTH   Florida Keys Marathon Airport, United States
Outdegree 0 4.106270274709482e-05   ELY   Ely Airport, United States
Outdegree 0 4.106270274709482e-05   SRR   Sierra Blanca Regional Airport, United States
Outdegree 0 4.106270274709482e-05   MYL   McCall Municipal Airport, United States
Outdegree 0 4.106270274709482e-05   SMN   Lemhi County Airport, United States
Outdegree 0 4.106270274709482e-05   OTS   Anacortes Airport, United States
Outdegree 0 4.106270274709482e-05   AST   Astoria Regional Airport, United States
Outdegree 0 4.106270274709482e-05   ONP   Newport Municipal Airport, United States
Outdegree 0 4.106270274709482e-05   UUK   Ugnu-Kuparuk Airport, United States
Outdegree 0 4.106270274709482e-05   KEK   Ekwok Airport, United States
Outdegree 0 4.106270274709482e-05   KGK   Koliganek Airport, United States
Outdegree 0 4.106270274709482e-05   KMO   Manokotak Airport, United States
Outdegree 0 4.106270274709482e-05   TWA   Twin Hills Airport, United States
Outdegree 0 4.106270274709482e-05   EAA   Eagle Airport, United States
Outdegree 0 4.106270274709482e-05   LIV   Livingood Airport, United States
4.106270274709482e-05   WBQ   Beaver Airport, United States
Outdegree 0 4.106270274709482e-05   KBC   Birch Creek Airport, United States
Outdegree 0 4.106270274709482e-05   CYR   Laguna de Los Patos International Airport, Uruguay
Outdegree 0 4.106270274709482e-05   AYK   Arkalyk Airport, Kazakhstan
Outdegree 0 4.106270274709482e-05   CYM   Chatham Seaplane Base, United States
Outdegree 0 4.106270274709482e-05   FNR   Funter Bay Seaplane Base, United States
Outdegree 0 4.106270274709482e-05   AFE   Kake Airport, United States
Outdegree 0 4.106270274709482e-05   WHD   Hyder Seaplane Base, United States
Outdegree 0 4.106270274709482e-05   WWP   North Whale Seaplane Base, United States
Outdegree 0 4.106270274709482e-05   KCL   Chignik Lagoon Airport, United States
Outdegree 0 4.106270274709482e-05   KBW   Chignik Bay Seaplane Base, United States
Outdegree 0 4.106270274709482e-05   PIP   Pilot Point Airport, United States
Outdegree 0 4.106270274709482e-05   KYK   Karuluk Airport, United States
Outdegree 0 4.106270274709482e-05   ALZ   Alitak Seaplane Base, United States
Outdegree 0 4.106270274709482e-05   KKB   Kitoi Bay Seaplane Base, United States
Outdegree 0 4.106270274709482e-05   KMY   Moser Bay Seaplane Base, United States
Outdegree 0 4.106270274709482e-05   KOY   Olga Bay Seaplane Base, United States
Outdegree 0 4.106270274709482e-05   KPY   Port Bailey Seaplane Base, United States
Outdegree 0 4.106270274709482e-05   KPR   Port Williams Seaplane Base, United States
Outdegree 0 4.106270274709482e-05   SYB   Seal Bay Seaplane Base, United States
Outdegree 0 4.106270274709482e-05   WSJ   San Juan - Uganik Seaplane Base, United States
Outdegree 0 4.106270274709482e-05   KWP   West Point Village Seaplane Base, United States
Outdegree 0 4.106270274709482e-05   KZB   Zachar Bay Seaplane Base, United States
Outdegree 0 4.106270274709482e-05   CIL   Council Airport, United States
Outdegree 0 4.106270274709482e-05   ICY   Icy Bay Airport, United States
Outdegree 0 4.106270274709482e-05   CYT   Yakataga Airport, United States
Outdegree 0 4.106270274709482e-05   KFP   False Pass Airport, United States
Outdegree 0 4.106270274709482e-05   PML   Port Moller Airport, United States
Outdegree 0 4.106270274709482e-05   NNL   Nondalton Airport, United States
Outdegree 0 4.106270274709482e-05   PDB   Pedro Bay Airport, United States
Outdegree 0 4.106270274709482e-05   APZ   ZAPALA, Argentina
Outdegree 0 4.106270274709482e-05   RDS   Rincon de los Sauces, Argentina
Outdegree 0 4.106270274709482e-05   OLN   Colonia Sarmiento, Argentina
Outdegree 0 4.106270274709482e-05   RYO   Rio Turbio, Argentina
Outdegree 0 4.106270274709482e-05   PNT   Puerto Natales, Chile
Outdegree 0 4.106270274709482e-05   CVI   Caleta Olivia, Argentina
Outdegree 0 4.106270274709482e-05   SGV   Sierra Grande, Argentina
Outdegree 0 4.106270274709482e-05   IGB   Ingeniero Jacobacci, Argentina
Outdegree 0 4.106270274709482e-05   ELX   El Chalten, Argentina
